,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tura,25.5198,90.2201,21.72,47,0,1.7,IN,1639890609
1,rikitea,-23.1203,-134.9692,25.28,74,100,5.51,PF,1639890609
2,itoman,26.1247,127.6694,19.21,52,40,5.66,JP,1639890610
3,atuona,-9.8,-139.0333,25.69,75,32,6.53,PF,1639890610
4,qaanaaq,77.484,-69.3632,-12.61,75,100,3.68,GL,1639890610
5,mataura,-46.1927,168.8643,19.15,49,90,5.49,NZ,1639890610
6,fortuna,40.5982,-124.1573,10.52,85,90,4.47,US,1639890611
7,sao filipe,14.8961,-24.4956,22.6,78,100,3.78,CV,1639890611
8,nikolskoye,59.7035,30.7861,0.94,95,100,5.16,RU,1639890611
9,coquimbo,-29.9533,-71.3436,14.85,94,40,4.63,CL,1639890603
10,talcahuano,-36.7167,-73.1167,13.82,88,0,3.6,CL,1639890612
11,busselton,-33.65,115.3333,27.25,46,0,5.23,AU,1639890612
12,hilo,19.7297,-155.09,22.11,46,90,0.0,US,1639890613
13,tongliao,43.6125,122.2653,-4.67,81,3,3.33,CN,1639890613
14,mar del plata,-38.0023,-57.5575,19.37,91,95,8.05,AR,1639890613
15,iqaluit,63.7506,-68.5145,-14.61,77,100,5.81,CA,1639890613
16,olutanga,7.3106,122.8464,28.31,71,67,0.67,PH,1639890613
17,vila velha,-20.3297,-40.2925,23.3,90,90,1.34,BR,1639890614
18,ushuaia,-54.8,-68.3,6.81,100,75,17.49,AR,1639890350
19,cherskiy,68.75,161.3,-29.38,96,100,0.47,RU,1639890614
20,bredasdorp,-34.5322,20.0403,17.38,80,99,3.58,ZA,1639890615
21,albany,42.6001,-73.9662,3.71,94,100,1.02,US,1639890615
22,sept-iles,50.2001,-66.3821,-12.75,74,67,0.45,CA,1639890618
23,sol-iletsk,51.1631,54.9918,0.4,98,100,5.64,RU,1639890618
24,hermanus,-34.4187,19.2345,18.83,84,32,1.77,ZA,1639890619
25,saldanha,-33.0117,17.9442,17.23,88,47,3.12,ZA,1639890619
26,nantucket,41.2835,-70.0995,8.41,91,100,7.9,US,1639890619
27,avarua,-21.2078,-159.775,27.03,69,40,4.12,CK,1639890620
28,port elizabeth,-33.918,25.5701,16.72,75,97,5.07,ZA,1639890620
29,severo-kurilsk,50.6789,156.125,-1.95,73,100,1.68,RU,1639890620
30,bethel,41.3712,-73.414,6.73,91,90,0.0,US,1639890620
31,xucheng,20.35,110.1288,17.83,45,100,7.71,CN,1639890621
32,basoko,1.2391,23.616,22.66,91,96,0.8,CD,1639890621
33,new norfolk,-42.7826,147.0587,17.72,49,100,1.79,AU,1639890621
34,alice springs,-23.7,133.8833,41.75,12,6,5.14,AU,1639890621
35,tabou,4.423,-7.3528,26.14,83,76,1.73,CI,1639890326
36,placido de castro,-10.3353,-67.1856,23.59,99,100,0.63,BR,1639890622
